#   1 Xpos                ""                                              [""]
#   2 Ypos                ""                                              [""]
#   3 in_area             mask value (addmask)                           
#   4 Flux                ""                                              [""]
#   5 Fluxer              ""                                              [""]
8120.42 107.160 0 0.133869 0.0196510
1561.11 106.906 0 0.112009 0.0207700
6353.47 107.839 0 0.0820260 0.0176530
2869.76 53.4730 0 0.605070 0.0215420
1014.40 107.937 0 0.0801210 0.0206190
6463.77 70.0700 0 1.04017 0.0175990
4734.07 102.700 0 0.184008 0.0210480
8750.96 84.1820 0 1.43757 0.0272690
642.534 65.4130 0 2.18984 0.0221370
8866.41 84.4690 0 0.818057 0.0266300
9865.83 99.1190 0 0.956539 0.0444270
5065.84 111.991 0 0.0240660 0.0193720
7443.72 111.557 0 0.126950 0.0194000
7962.34 63.3200 0 0.228831 0.0193730
7505.09 78.7110 0 0.459167 0.0194490
5656.43 58.4150 0 1.16090 0.0178730
1416.21 114.154 0 0.166560 0.0213590
6110.41 110.355 0 0.291003 0.0175990
2155.37 114.189 0 0.0805220 0.0207710
1008.09 93.8930 0 0.265633 0.0210880
1839.03 113.636 0 0.0609680 0.0192170
5654.79 78.4550 0 0.910312 0.0183890
9608.94 114.016 0 0.254302 0.0443310
4180.77 115.456 0 0.0643780 0.0222010
7813.00 107.913 0 0.228029 0.0191640
4558.66 116.137 0 0.315270 0.0216420
7911.30 68.9250 0 0.434599 0.0188180
2226.62 116.617 0 0.460671 0.0210970
928.937 75.0670 0 1.04749 0.0208300
8777.33 86.8650 0 0.445930 0.0264970
152.045 92.1470 0 9.28552 0.0218870
7717.63 387.677 0 59.5761 0.0195110
5320.79 117.374 0 0.128956 0.0186100
8408.17 117.384 0 0.0945610 0.0208950
4977.71 117.215 0 0.104789 0.0176070
1557.71 118.124 0 0.194336 0.0216540
7221.14 117.885 0 0.202358 0.0175990
7058.46 118.365 0 0.0685890 0.0177660
3925.61 118.369 0 0.117524 0.0211220
8138.04 106.431 0 0.326401 0.0203070
3391.26 106.341 0 0.379648 0.0208590
5197.48 118.823 0 0.0568570 0.0189920
2905.67 104.303 0 5.95974 0.0219290
1273.98 71.6000 0 1.36918 0.0198950
8535.18 107.891 0 0.191328 0.0210120
2603.02 112.731 0 0.362801 0.0213720
6446.38 119.695 0 0.135574 0.0176890
8109.71 121.326 0 0.144699 0.0198430
7885.75 116.398 0 0.225021 0.0196030
7575.46 115.041 0 0.324997 0.0201700
8194.10 70.3410 0 0.224720 0.0202530
7346.15 122.396 0 0.105591 0.0191520
1332.32 117.950 0 0.231338 0.0204530
3243.65 121.909 0 0.136878 0.0212190
9668.05 122.312 0 0.354378 0.0426830
4972.41 122.436 0 0.108499 0.0179800
2175.63 123.437 0 0.112912 0.0202960
7258.17 95.6710 0 5.06889 0.0183700
4101.24 122.889 0 0.304641 0.0229260
8095.07 123.313 0 0.144398 0.0201150
3152.60 123.567 0 0.214392 0.0217070
5846.71 107.765 0 1.32415 0.0175990
6603.38 124.992 0 0.238859 0.0180570
5892.02 112.497 0 0.462576 0.0175990
7969.64 125.357 0 0.142593 0.0190920
8559.17 113.877 0 0.320986 0.0223200
6922.15 104.013 0 0.538586 0.0176970
325.418 124.726 0 0.226826 0.0220410
8296.75 126.446 0 0.115017 0.0207540
776.205 125.616 0 0.105591 0.0218740
532.718 126.303 0 0.161646 0.0217050
9220.61 123.835 0 0.199952 0.0263110
6867.51 127.671 0 0.216397 0.0175990
2900.74 89.6610 0 5.13487 0.0214230
8711.62 128.186 0 0.104388 0.0242890
9037.87 122.098 0 0.281878 0.0272760
6542.78 115.109 0 0.346757 0.0184490
9896.35 107.495 0 0.936183 0.0442240
2802.62 126.773 0 0.183607 0.0218750
2808.88 154.375 0 4.96380 0.0215250
7278.55 114.203 0 0.587120 0.0186820
5297.23 131.536 0 0.0536480 0.0186190
8625.56 133.278 0 0.104689 0.0225510
3873.77 123.523 0 0.360194 0.0214170
4257.81 133.762 0 0.191228 0.0221430
3407.50 96.5640 0 2.21281 0.0208930
8699.20 134.193 0 0.172376 0.0241570
630.553 133.746 0 0.143697 0.0222870
1041.12 132.432 0 0.409029 0.0209370
69.4210 108.468 0 0.745056 0.0216240
5217.22 135.142 0 0.129959 0.0186670
432.382 128.098 0 0.104488 0.0219110
7430.88 124.582 0 0.791584 0.0198030
6258.28 123.162 0 0.155128 0.0177130
5336.02 135.972 0 0.177991 0.0187640
961.427 136.526 0 0.138282 0.0213150
9853.92 134.768 0 0.407524 0.0462330
1251.56 128.288 0 0.219907 0.0203130
1686.64 133.786 0 0.556135 0.0188060
2333.57 160.097 0 21.6735 0.0204970
3141.24 138.085 0 0.0722990 0.0216060
9437.76 102.022 0 6.77158 0.0454000
3307.53 138.723 0 0.0571580 0.0211830
9495.19 127.540 0 0.922245 0.0438470
3464.00 139.476 0 0.241165 0.0198020
6801.61 125.172 0 0.488548 0.0175990
3415.50 138.746 0 0.0753080 0.0213090
3633.05 111.007 0 1.63501 0.0219830
1562.11 131.147 0 0.895972 0.0214940
1625.93 140.237 0 0.0786170 0.0206440
8764.89 126.353 0 12.6886 0.0250280
4293.35 357.265 0 60.2800 0.0228130
9186.23 127.999 0 1.80298 0.0271900
2022.28 139.575 0 0.275059 0.0197780
4567.09 117.158 0 1.14356 0.0221170
5491.16 106.256 0 1.34431 0.0186140
8658.18 122.158 0 0.602462 0.0218500
4271.08 160.103 0 1.91629 0.0218100
6828.50 95.5830 0 1.29477 0.0175990
8270.46 176.740 0 3.64566 0.0201110
1489.73 140.591 0 0.158437 0.0206460
1224.81 129.113 0 0.402811 0.0196190
9212.92 132.660 0 0.543600 0.0267400
3788.08 142.171 0 0.140187 0.0226300
4555.63 140.017 0 0.190225 0.0219460
4365.63 134.849 0 0.319482 0.0217800
2955.81 113.377 0 4.00184 0.0217420
79.9800 108.295 0 1.05862 0.0216420
7114.01 115.405 0 2.24580 0.0175990
5863.79 130.142 0 0.231138 0.0175990
6885.34 142.665 0 0.0732020 0.0176730
1761.07 143.120 0 0.0719990 0.0204390
8961.09 111.949 0 2.17480 0.0262950
8814.76 117.082 0 1.91218 0.0267730
8090.68 143.895 0 0.268641 0.0200280
1321.64 138.945 0 0.158036 0.0211390
4418.58 144.152 0 0.199851 0.0217190
7682.81 143.133 0 0.230436 0.0196530
